cube,channel,snr,overshoot,floor_leak,invented_frac,invented_blobs
run_0036_00350_rt_03,112,nan,0.8084926009178162,0.16933269798755646,0.0,0
run_0036_00350_rt_03,115,nan,0.9453635215759277,0.16636617481708527,0.0,0
run_0036_00350_rt_03,116,nan,0.7649006843566895,0.17953254282474518,0.0,0
run_0036_00350_rt_03,118,nan,0.7031489014625549,0.18814201653003693,0.0,0
run_0036_00350_rt_03,120,nan,1.0721354484558105,0.1492132693529129,0.0,0
run_0036_00350_rt_03,121,nan,1.0708740949630737,0.15878959000110626,0.0,0
run_0036_00350_rt_03,125,nan,0.848227322101593,0.17183682322502136,0.0,0
run_0036_00350_rt_03,126,nan,0.9109190702438354,0.1540045589208603,0.0,0
run_0036_00350_rt_03,128,nan,0.7524561882019043,0.17713584005832672,0.0,0
run_0036_00350_rt_03,129,nan,0.8017706871032715,0.1867692470550537,0.0,0
run_0036_00350_rt_03,130,nan,0.7251413464546204,0.175298810005188,0.0,0
run_0036_00350_rt_03,138,nan,0.8726193308830261,0.17904098331928253,0.0,0
run_0036_00350_rt_03,142,nan,0.6629434823989868,0.19068686664104462,0.0,0
run_0036_00350_rt_03,143,nan,0.6680999398231506,0.19669678807258606,0.0,0
run_0036_00350_rt_03,144,nan,0.8370093107223511,0.17757919430732727,0.0,0
run_0036_00350_rt_03,155,nan,0.9478528499603271,0.18693223595619202,0.0,0
run_0036_00350_rt_03,156,nan,0.8747018575668335,0.1933857500553131,0.0,0
run_0036_00350_rt_03,162,nan,0.9707286357879639,0.18509513139724731,0.0,0
run_0036_00350_rt_03,168,nan,1.1198005676269531,0.1861637383699417,0.0,0
run_0036_00350_rt_03,185,nan,1.258476734161377,0.18001332879066467,0.0,0
